"date","l1_category_id","l2_category_id","total_est_qty_sold"
"2025-03-01","1237","1178","813"
"2025-03-01","1237","80","241"
"2025-03-03","1237","1178","697"
"2025-03-03","1237","80","12"
"2025-03-04","1237","1178","3294"
"2025-03-04","1237","80","486"
"2025-03-05","1237","1178","3816"
"2025-03-05","1237","80","620"
"2025-03-06","1237","1178","3074"
"2025-03-06","1237","80","635"
"2025-03-07","1237","1178","3388"
"2025-03-07","1237","80","694"
"2025-03-08","1237","1178","3322"
"2025-03-08","1237","80","603"
"2025-03-09","1237","1178","3423"
"2025-03-09","1237","80","597"
"2025-03-10","1237","1178","3420"
"2025-03-10","1237","80","609"
"2025-03-11","1237","1178","2300"
"2025-03-11","1237","80","211"
"2025-03-12","1237","1178","2840"
"2025-03-12","1237","80","279"
"2025-03-13","1237","1178","2136"
"2025-03-13","1237","80","308"
"2025-03-16","1237","1178","574"
"2025-03-16","1237","80","317"
"2025-03-17","1237","1178","1453"
"2025-03-17","1237","80","230"
"2025-03-18","1237","1178","2352"
"2025-03-18","1237","80","275"
"2025-03-19","1237","1178","1907"
"2025-03-19","1237","80","224"
"2025-03-20","1237","1178","2257"
"2025-03-20","1237","80","399"
"2025-03-21","1237","1178","1808"
"2025-03-21","1237","80","249"
"2025-03-22","1237","1178","3390"
"2025-03-22","1237","80","393"
"2025-03-23","1237","1178","2104"
"2025-03-23","1237","80","445"
"2025-03-24","1237","1178","1653"
"2025-03-24","1237","80","345"
"2025-03-25","1237","1178","1885"
"2025-03-25","1237","80","295"
"2025-03-26","1237","1178","1868"
"2025-03-26","1237","80","191"
"2025-03-27","1237","1178","2006"
"2025-03-27","1237","80","165"
"2025-03-28","1237","1178","2010"
"2025-03-28","1237","80","260"
"2025-03-29","1237","1178","2801"
"2025-03-29","1237","80","234"
"2025-03-30","1237","1178","1671"
"2025-03-30","1237","80","134"
"2025-03-31","1237","1178","1618"
"2025-03-31","1237","80","109"
"2025-04-01","1237","1178","1071"
"2025-04-01","1237","80","49"
"2025-04-02","1237","1178","3"
